country,wave1,wave2,wave3,wave4,wave5,wave6,wave7,wave8,wave9,wave10,wave11,wave12,wave13,wave14,wave15,wave16,wave17,wave18,wave19
AR,2250.856,3307.857,2559.968,1810.058,1908.966,1269.189,791.579,1825.309,2216.266,2232.116,2309.458,2154.416,1867.302,2153.285,2081.375,1941.579,1486.741,1917.837,927.449
BD,898.871,1021.042,971.722,689.855,825.394,200.964,714.569,763.523,798.953,741.188,785.758,735.107,813.898,805.648,841.911,913.526,858.501,871.049,783.98
BR,2013.157,2848.11,2833.508,1944.721,1423.033,999.173,2016.544,1740.788,2162.369,2240.075,2015.633,2003.482,2289.823,2180.401,1915.453,2049.793,2159.473,1794.655,2072.58
CO,2341.264,2173.021,2307.252,2186.036,1685.412,945.909,1737.177,1802.938,2003.037,2016.464,2036.44,2061.105,1799.156,1832.021,2006.098,1969.791,2065.184,2086.873,2009.447
DE,2167.055,2803.809,2724.954,1704.902,1836.581,679.334,1798.402,2024.174,2127.265,2166.903,2244.586,2159.876,2033.244,2202.493,1942.102,2130.913,2118.436,2002.363,1544.641
EG,1648.064,1737.641,1631.163,1171.172,1119.691,288.965,1379.158,1206.064,1330.757,1262.022,1794.569,1495.054,1416.658,1322.385,1359.216,1434.049,1407.413,1522.569,1488.626
FR,2880.461,3110.073,2804.035,2046.279,2308.406,1626.878,2217.949,2260.821,1682.724,2283.214,3089.286,2560.076,2550.559,2538.058,2614.268,2421.333,2167.171,2476.035,1991.904
GB,2494.254,2723.973,2556.238,2071.859,2206.968,1361.512,1013.853,2014.012,1035.119,2176.222,499.564,2166.482,2298.353,1797.28,2209.529,2310.12,318.344,1356.835,2467.424
ID,2155.624,2980.464,1870.596,1999.762,1823.314,971.176,1596.369,1610.823,1774.594,1747.838,1714.856,1722.048,1946.514,1659.087,1726.571,1830.221,1807.427,1850.192,2008.23
IN,1208.095,1741.661,1320.369,918.47,1159.783,394.494,870.227,877.165,1022.769,968.68,990.111,935.805,1086.752,1030.088,1076.99,1098.6,1094.342,1005.123,1075.975
IT,2440.216,979.525,2592.946,2136.323,1982.852,1155.503,1891.82,1972.495,1843.909,2137.184,2459.16,2099.885,2155.849,2040.521,1907.833,2005.166,1838.971,1950.673,1979.028
JP,1669.136,2699.69,1712.95,1819.814,1706.585,198.156,1508.6,1281.715,1706.577,1674.7,1453.561,1426.532,1423.401,1505.587,1451.09,1395.899,1445.846,1693.154,1586.544
MX,1842.298,2096.666,2093.545,1526.951,1657.126,517.119,1609.139,1400.017,1696.507,1786.939,1862.656,1763.32,2004.575,1802.151,1735.427,1699.908,1756.269,1596.05,1931.408
MY,2562.736,2623.443,2200.756,1822.046,2546.979,551.027,1895.875,1760.222,1897.765,1853.399,2570.066,2167.708,2515.913,2011.982,2128.408,1566.318,2246.985,2206.26,2229.728
NG,1624.768,1314.95,1636.599,1542.838,1420.828,572.839,1266.965,1265.099,1360.367,1309.39,1654.572,1466.048,1369.647,1615.134,1406.947,1574.609,1355.109,1587.952,1425.99
PH,1745.193,1537.041,1429.847,1381.274,1289.944,555.474,1223.147,1248.067,1066.027,1283.252,1404.084,1519.636,1662.936,1378.49,1517.124,1531.013,1611.398,1485.571,1377.339
PK,1125.627,1440.429,987.586,1124.708,653.188,254.855,832.964,862.761,1056.333,1017.491,945.932,1008.876,1096.527,993.079,1086.076,1139.104,1116.275,1097.314,986.633
PL,2312.633,3236.452,3801.06,1949.424,1936.867,717.942,2291.085,2128.199,1711.506,2634.074,2782.857,2639.318,2730.515,2727.07,2686.272,2548.764,2898.852,2480.601,2748.707
RO,2186.586,2293.547,2309.56,1515.89,1616.802,664.391,1877.953,1491.285,1800.151,1831.204,2098.528,1850.397,2289.558,1817.64,2073.533,2041.194,1944.182,2075.766,1798.935
TH,2685.627,2673.365,2643.823,1766.268,1682.574,1366.047,1833.918,1623.901,2016.088,2147.279,2086.975,1884.597,1738.747,1785.799,2155.972,2103.101,2429.702,1919.438,2455.345
TR,1911.724,2332.328,2162.726,2351.519,1455.398,408.551,1461.865,1485.566,1724.936,1666.427,1542.343,1500.988,1604.163,1513.679,1756.403,1626.417,1577.239,1673.739,1664.826
US,1471.29,2857.681,2501.996,2009.243,1874.899,402.746,1900.523,1554.687,1516.42,2090.093,2066.722,1814.772,1995.863,2041.843,1652.59,1837.888,1902.983,1824.068,1873.487
VN,1616.709,2560.496,1748.701,1006.101,1034.022,395.001,1220.322,1013.454,1051.924,1078.867,1197.162,1142.681,1301.362,1161.972,1375.786,1078.456,1118.867,1151.902,1361.73
