country,consume,trust,val
AR,0.376,0.274,government_health_authorities
AR,0.707,0.138,journalists
AR,0.362,0.573,local_health_workers
AR,0.156,0.077,ordinary_people_i_do_not_know_personally
AR,0.369,0.204,ordinary_people_i_know_personally
AR,0.276,0.08,politicians
AR,0.454,0.673,scientists
AR,0.229,0.451,world_health_organization
AR,0.157,0.077,messaging_apps
AR,0.242,0.211,newspapers
AR,0.645,0.159,online_sources
AR,0.355,0.242,radio
AR,0.852,0.263,television
BD,0.531,0.393,government_health_authorities
BD,0.456,0.321,journalists
BD,0.323,0.442,local_health_workers
BD,0.192,0.136,ordinary_people_i_do_not_know_personally
BD,0.398,0.282,ordinary_people_i_know_personally
BD,0.151,0.099,politicians
BD,0.399,0.734,scientists
BD,0.519,0.722,world_health_organization
BD,0.315,0.309,messaging_apps
BD,0.491,0.545,newspapers
BD,0.806,0.368,online_sources
BD,0.132,0.46,radio
BD,0.721,0.573,television
BR,0.377,0.266,government_health_authorities
BR,0.736,0.224,journalists
BR,0.433,0.545,local_health_workers
BR,0.204,0.055,ordinary_people_i_do_not_know_personally
BR,0.449,0.148,ordinary_people_i_know_personally
BR,0.16,0.041,politicians
BR,0.484,0.688,scientists
BR,0.398,0.562,world_health_organization
BR,0.224,0.104,messaging_apps
BR,0.511,0.328,newspapers
BR,0.779,0.149,online_sources
BR,0.292,0.275,radio
BR,0.691,0.311,television
CO,0.451,0.313,government_health_authorities
CO,0.571,0.149,journalists
CO,0.366,0.495,local_health_workers
CO,0.207,0.076,ordinary_people_i_do_not_know_personally
CO,0.405,0.149,ordinary_people_i_know_personally
CO,0.21,0.059,politicians
CO,0.418,0.644,scientists
CO,0.375,0.479,world_health_organization
CO,0.305,0.122,messaging_apps
CO,0.29,0.292,newspapers
CO,0.601,0.16,online_sources
CO,0.422,0.295,radio
CO,0.876,0.319,television
DE,0.491,0.477,government_health_authorities
DE,0.608,0.095,journalists
DE,0.326,0.443,local_health_workers
DE,0.112,0.018,ordinary_people_i_do_not_know_personally
DE,0.247,0.06,ordinary_people_i_know_personally
DE,0.618,0.102,politicians
DE,0.677,0.591,scientists
DE,0.405,0.542,world_health_organization
DE,0.215,0.071,messaging_apps
DE,0.563,0.321,newspapers
DE,0.839,0.119,online_sources
DE,0.644,0.357,radio
DE,0.851,0.357,television
EG,0.386,0.285,government_health_authorities
EG,0.185,0.093,journalists
EG,0.325,0.413,local_health_workers
EG,0.184,0.066,ordinary_people_i_do_not_know_personally
EG,0.356,0.194,ordinary_people_i_know_personally
EG,0.062,0.069,politicians
EG,0.461,0.622,scientists
EG,0.382,0.525,world_health_organization
EG,0.094,0.1,messaging_apps
EG,0.135,0.19,newspapers
EG,0.838,0.148,online_sources
EG,0.114,0.242,radio
EG,0.604,0.294,television
FR,0.487,0.314,government_health_authorities
FR,0.688,0.099,journalists
FR,0.283,0.579,local_health_workers
FR,0.095,0.024,ordinary_people_i_do_not_know_personally
FR,0.334,0.103,ordinary_people_i_know_personally
FR,0.381,0.073,politicians
FR,0.51,0.573,scientists
FR,0.211,0.492,world_health_organization
FR,0.147,0.081,messaging_apps
FR,0.348,0.267,newspapers
FR,0.714,0.125,online_sources
FR,0.432,0.262,radio
FR,0.834,0.237,television
GB,0.646,0.36,government_health_authorities
GB,0.541,0.044,journalists
GB,0.276,0.592,local_health_workers
GB,0.143,0.026,ordinary_people_i_do_not_know_personally
GB,0.453,0.106,ordinary_people_i_know_personally
GB,0.617,0.076,politicians
GB,0.571,0.683,scientists
GB,0.308,0.583,world_health_organization
GB,0.194,0.084,messaging_apps
GB,0.349,0.124,newspapers
GB,0.82,0.085,online_sources
GB,0.479,0.243,radio
GB,0.838,0.268,television
ID,0.463,0.521,government_health_authorities
ID,0.281,0.263,journalists
ID,0.49,0.591,local_health_workers
ID,0.129,0.13,ordinary_people_i_do_not_know_personally
ID,0.316,0.297,ordinary_people_i_know_personally
ID,0.074,0.146,politicians
ID,0.367,0.677,scientists
ID,0.237,0.612,world_health_organization
ID,0.33,0.331,messaging_apps
ID,0.166,0.421,newspapers
ID,0.764,0.383,online_sources
ID,0.134,0.417,radio
ID,0.709,0.556,television
IN,0.477,0.541,government_health_authorities
IN,0.417,0.254,journalists
IN,0.408,0.513,local_health_workers
IN,0.205,0.121,ordinary_people_i_do_not_know_personally
IN,0.443,0.293,ordinary_people_i_know_personally
IN,0.172,0.094,politicians
IN,0.411,0.751,scientists
IN,0.389,0.623,world_health_organization
IN,0.353,0.213,messaging_apps
IN,0.556,0.535,newspapers
IN,0.71,0.301,online_sources
IN,0.178,0.472,radio
IN,0.714,0.472,television
IT,0.468,0.39,government_health_authorities
IT,0.664,0.082,journalists
IT,0.296,0.608,local_health_workers
IT,0.098,0.034,ordinary_people_i_do_not_know_personally
IT,0.276,0.08,ordinary_people_i_know_personally
IT,0.294,0.043,politicians
IT,0.624,0.68,scientists
IT,0.319,0.578,world_health_organization
IT,0.119,0.089,messaging_apps
IT,0.397,0.23,newspapers
IT,0.815,0.146,online_sources
IT,0.283,0.234,radio
IT,0.726,0.258,television
JP,0.373,0.205,government_health_authorities
JP,0.506,0.067,journalists
JP,0.26,0.299,local_health_workers
JP,0.079,0.028,ordinary_people_i_do_not_know_personally
JP,0.163,0.052,ordinary_people_i_know_personally
JP,0.208,0.041,politicians
JP,0.553,0.383,scientists
JP,0.157,0.233,world_health_organization
JP,0.271,0.069,messaging_apps
JP,0.434,0.264,newspapers
JP,0.653,0.103,online_sources
JP,0.164,0.197,radio
JP,0.896,0.219,television
MX,0.524,0.307,government_health_authorities
MX,0.406,0.124,journalists
MX,0.404,0.551,local_health_workers
MX,0.168,0.074,ordinary_people_i_do_not_know_personally
MX,0.407,0.16,ordinary_people_i_know_personally
MX,0.201,0.061,politicians
MX,0.456,0.723,scientists
MX,0.382,0.62,world_health_organization
MX,0.342,0.129,messaging_apps
MX,0.233,0.227,newspapers
MX,0.727,0.19,online_sources
MX,0.344,0.26,radio
MX,0.763,0.277,television
MY,0.751,0.703,government_health_authorities
MY,0.365,0.262,journalists
MY,0.569,0.679,local_health_workers
MY,0.197,0.11,ordinary_people_i_do_not_know_personally
MY,0.418,0.231,ordinary_people_i_know_personally
MY,0.289,0.189,politicians
MY,0.485,0.733,scientists
