country,wave1,wave2,wave3,wave4,wave5,wave6,wave7,wave8,wave9,wave10,wave11,wave12,wave13,wave14,wave15,wave16,wave17,wave18,wave19
AR,3541,5064,4806,3154,3127,2183,3107,3025,3275,3258,3528,3198,3749,3288,3195,3289,3207,3199,3495
BD,4027,4476,4043,2894,3496,786,3024,3061,3188,3103,3255,3113,3329,3186,3169,3534,3212,3263,3056
BR,3520,5007,4493,3277,3399,1550,3285,2959,3352,3431,3150,3174,3555,3388,3157,3260,3387,3160,3485
CO,4284,4597,4268,4083,3008,1574,3058,3053,3466,3290,3568,3336,3582,3239,3122,3220,3184,3203,3573
DE,3708,5243,5259,3201,3342,1180,3250,3453,3630,3407,3463,3371,3362,3399,3222,3405,3413,3334,3772
EG,4116,4672,3992,3227,2965,699,3386,3130,3410,3199,4237,3511,3560,3352,3237,3422,3345,3429,3652
FR,3911,5248,4165,3385,3364,2398,3237,3242,3475,3241,4124,3307,3363,3491,3286,3223,3281,3290,3672
GB,3573,4441,4138,3269,3159,1888,3235,3148,3362,3696,3302,3192,3408,3354,3164,3478,3261,3262,3789
ID,4710,5927,3829,4228,3441,1960,3159,3139,3258,3260,3170,3187,3423,3220,3245,3375,3284,3385,3621
IN,4488,6295,4787,3298,4022,1350,2892,3080,3396,3167,3382,3186,3559,3133,3295,3467,3495,3289,3576
IT,4027,4984,4874,3888,3501,1914,3153,3416,3178,3492,3937,3222,3418,3261,3162,3257,3167,3151,3531
JP,3848,5997,3754,4052,3642,499,3310,2925,3395,3464,3099,3010,3245,3196,3184,3235,3207,3404,3518
MX,3662,4244,4160,3116,3180,1302,3098,3088,3212,3447,3667,3200,3686,3286,3240,3204,3149,3163,3488
MY,4339,4675,3935,3119,4166,840,3218,3103,3070,2950,3650,3210,3838,3339,3243,3380,3326,3217,3551
NG,4212,3366,3880,3931,3172,1177,2905,2874,3194,3190,3816,3216,3272,3359,3129,3398,3193,3543,3216
PH,4282,4311,3735,3647,3032,1327,2995,3109,3160,2904,3163,3303,3852,3172,3158,3236,3178,3193,3281
PK,3959,4820,3263,3868,2343,701,2688,2685,3382,3347,3147,3107,3385,3046,3215,3363,3342,3445,3218
PL,3511,5493,5966,3287,2837,943,3297,3382,3399,3704,3926,3596,3739,3708,3513,3773,3750,3681,3660
RO,4225,4866,4776,3226,3022,1073,3561,3119,3432,3855,3765,3473,3899,3514,3395,3369,3392,3540,3736
TH,4462,4994,4626,3418,2818,2367,3136,3170,3597,3473,3582,3412,3722,3429,3595,3588,3622,3830,3859
TR,4142,5049,4529,4852,3456,875,2995,3166,3642,3385,3245,3240,3605,3116,3515,3541,3350,3475,3681
US,3249,4849,3862,3253,2989,575,3390,3042,2833,3586,3501,3149,3380,3368,3096,3265,3264,3299,3682
VN,4831,9028,5681,3121,3105,1176,3498,2952,3159,3085,3461,3257,3600,3219,3926,3328,3122,3204,3480
