country,wave,unique_invitation_impression
AR,1,134.78330700368616
AR,2,55.35618452490351
AR,3,56.90756140011603
AR,4,54.615903755868544
AR,5,54.72279013830427
AR,6,65.36642522368982
AR,7,64.18580375782881
AR,8,66.5509838998211
AR,9,73.62199312714776
AR,10,72.21255776026094
AR,11,83.01805629314923
AR,12,91.17208077260754
AR,13,85.66600446982865
AR,14,70.49125824018343
AR,15,80.56325212797182
AR,16,87.74935988620199
AR,17,91.88237011091653
AR,18,87.30292397660818
AR,19,80.8036002149382
BD,1,337.6800469943215
BD,2,249.6556396269576
BD,3,304.28736306729263
BD,4,305.97321937321937
BD,5,409.69059749884207
BD,6,480.6900406504065
BD,7,426.0765936004031
BD,8,399.1165659008464
BD,9,441.0607923497268
BD,10,412.0274599542334
BD,11,384.0515345854329
BD,12,442.2355175688509
BD,13,415.2618464961068
BD,14,475.15384615384613
BD,15,492.9445081403348
BD,16,524.1547108113632
BD,17,500.5837471783296
BD,18,500.76111731843577
BD,19,494.2484138604197
BR,1,186.78537106246662
BR,2,39.4687152906331
BR,3,44.9876365134968
BR,4,54.27858985382631
BR,5,56.7881051175657
BR,6,56.47220525351252
BR,7,64.53468932850376
BR,8,65.95030303030303
BR,9,69.39502976960911
BR,10,61.59984736708217
BR,11,61.41732745961821
BR,12,59.0730288041897
BR,13,60.18538741549662
BR,14,52.400773908236594
BR,15,57.92451154529307
BR,16,68.92472198460223
BR,17,65.68254405286343
BR,18,51.92542172240308
BR,19,48.075806451612905
CO,1,155.94303525365433
CO,2,74.45557094795171
CO,3,83.24174882126017
CO,4,85.10832587287376
CO,5,105.14635639926516
CO,6,131.32184579439252
CO,7,128.6583504549457
CO,8,123.063173216885
CO,9,141.00367286973557
CO,10,132.0738621586476
CO,11,146.52181633688483
CO,12,153.52114597544337
CO,13,148.16979695431473
CO,14,120.64241223103058
CO,15,134.51435198608291
CO,16,157.77102936983175
CO,17,187.3720195346165
CO,18,200.35014326647564
CO,19,191.3800051007396
DE,1,118.079887697805
DE,2,62.22931654676259
DE,3,63.466343564889605
DE,4,66.26343612334801
DE,5,73.42945301542777
DE,6,80.16838760921367
DE,7,72.82373074729036
DE,8,53.40832666132906
