wave,country,Yes,Don't know,No
1,AR,0.718,0.172,0.11
2,AR,0.735,0.169,0.096
3,AR,0.731,0.166,0.103
4,AR,0.704,0.185,0.111
5,AR,0.691,0.189,0.12
6,AR,0.671,0.207,0.122
7,AR,0.68,0.198,0.122
8,AR,0.65,0.206,0.144
9,AR,0.604,0.251,0.145
10,AR,0.57,0.261,0.168
11,AR,0.574,0.254,0.171
12,AR,0.567,0.25,0.183
13,AR,0.582,0.241,0.178
14,AR,0.539,0.251,0.21
15,AR,0.589,0.249,0.163
16,AR,0.636,0.217,0.147
17,AR,0.706,0.162,0.131
18,AR,0.73,0.154,0.116
19,AR,0.755,0.133,0.113
1,BD,0.834,0.104,0.062
2,BD,0.841,0.108,0.051
3,BD,0.823,0.116,0.061
4,BD,0.831,0.095,0.074
5,BD,0.805,0.127,0.068
6,BD,0.802,0.115,0.083
7,BD,0.822,0.107,0.071
8,BD,0.832,0.113,0.055
9,BD,0.808,0.111,0.081
10,BD,0.818,0.114,0.068
11,BD,0.828,0.099,0.073
12,BD,0.804,0.117,0.079
13,BD,0.793,0.113,0.095
14,BD,0.776,0.123,0.101
15,BD,0.645,0.17,0.185
16,BD,0.738,0.134,0.128
17,BD,0.848,0.079,0.073
18,BD,0.841,0.076,0.082
19,BD,0.82,0.086,0.095
1,BR,0.852,0.099,0.049
2,BR,0.85,0.097,0.054
3,BR,0.841,0.104,0.055
4,BR,0.816,0.131,0.053
5,BR,0.814,0.117,0.069
6,BR,0.787,0.131,0.082
7,BR,0.781,0.134,0.086
8,BR,0.72,0.163,0.117
9,BR,0.675,0.186,0.138
10,BR,0.651,0.198,0.151
11,BR,0.681,0.183,0.135
12,BR,0.69,0.172,0.138
13,BR,0.668,0.197,0.135
14,BR,0.699,0.169,0.132
15,BR,0.762,0.13,0.109
16,BR,0.794,0.119,0.087
17,BR,0.82,0.102,0.078
18,BR,0.839,0.087,0.074
19,BR,0.867,0.088,0.044
1,CO,0.696,0.183,0.12
2,CO,0.727,0.168,0.105
3,CO,0.729,0.167,0.104
4,CO,0.695,0.191,0.114
5,CO,0.675,0.202,0.123
6,CO,0.678,0.18,0.142
7,CO,0.654,0.183,0.163
8,CO,0.627,0.219,0.154
9,CO,0.599,0.228,0.174
10,CO,0.643,0.205,0.152
11,CO,0.585,0.237,0.179
12,CO,0.582,0.231,0.187
13,CO,0.588,0.214,0.198
14,CO,0.591,0.228,0.181
15,CO,0.642,0.208,0.149
16,CO,0.623,0.233,0.144
17,CO,0.678,0.188,0.135
18,CO,0.693,0.183,0.124
19,CO,0.697,0.161,0.142
1,DE,0.604,0.191,0.205
2,DE,0.59,0.208,0.202
3,DE,0.585,0.224,0.191
4,DE,0.563,0.22,0.217
5,DE,0.551,0.211,0.237
6,DE,0.524,0.249,0.227
7,DE,0.559,0.226,0.215
8,DE,0.549,0.234,0.217
9,DE,0.524,0.244,0.232
10,DE,0.559,0.217,0.224
11,DE,0.529,0.241,0.23
12,DE,0.545,0.232,0.222
13,DE,0.623,0.201,0.176
14,DE,0.66,0.174,0.166
15,DE,0.671,0.181,0.149
16,DE,0.688,0.152,0.159
17,DE,0.719,0.139,0.142
18,DE,0.738,0.128,0.134
19,DE,0.743,0.116,0.142
1,EG,0.689,0.199,0.111
2,EG,0.696,0.181,0.124
3,EG,0.671,0.2,0.13
4,EG,0.662,0.197,0.141
5,EG,0.66,0.194,0.146
6,EG,0.668,0.173,0.159
7,EG,0.629,0.216,0.155
8,EG,0.615,0.209,0.176
9,EG,0.609,0.235,0.157
10,EG,0.626,0.213,0.162
11,EG,0.634,0.209,0.157
12,EG,0.555,0.223,0.222
13,EG,0.45,0.277,0.273
14,EG,0.468,0.291,0.241
15,EG,0.449,0.265,0.286
16,EG,0.455,0.257,0.288
17,EG,0.449,0.27,0.281
18,EG,0.467,0.24,0.293
19,EG,0.474,0.264,0.262
1,FR,0.508,0.273,0.219
2,FR,0.482,0.286,0.232
3,FR,0.457,0.294,0.249
4,FR,0.423,0.292,0.285
5,FR,0.392,0.284,0.324
6,FR,0.368,0.29,0.342
7,FR,0.38,0.286,0.334
8,FR,0.415,0.293,0.292
9,FR,0.419,0.291,0.29
10,FR,0.376,0.302,0.322
11,FR,0.349,0.294,0.356
12,FR,0.329,0.292,0.379
13,FR,0.41,0.27,0.321
14,FR,0.535,0.222,0.244
15,FR,0.531,0.224,0.244
16,FR,0.548,0.225,0.227
17,FR,0.561,0.217,0.222
18,FR,0.608,0.18,0.213
19,FR,0.612,0.179,0.209
1,GB,0.738,0.153,0.109
2,GB,0.742,0.158,0.1
3,GB,0.736,0.164,0.099
4,GB,0.697,0.184,0.119
5,GB,0.693,0.173,0.134
6,GB,0.685,0.18,0.135
7,GB,0.687,0.186,0.127
8,GB,0.674,0.193,0.132
9,GB,0.649,0.208,0.143
10,GB,0.694,0.182,0.124
11,GB,0.716,0.156,0.128
12,GB,0.733,0.144,0.123
13,GB,0.767,0.133,0.1
14,GB,0.826,0.095,0.08
15,GB,0.863,0.069,0.068
16,GB,0.873,0.07,0.057
17,GB,0.906,0.046,0.049
18,GB,0.896,0.057,0.047
19,GB,0.908,0.041,0.052
1,ID,0.565,0.253,0.182
2,ID,0.517,0.273,0.21
3,ID,0.517,0.265,0.218
4,ID,0.525,0.252,0.223
5,ID,0.539,0.275,0.186
6,ID,0.546,0.278,0.176
7,ID,0.524,0.254,0.221
8,ID,0.5,0.28,0.22
9,ID,0.449,0.288,0.263
10,ID,0.457,0.29,0.253
11,ID,0.517,0.27,0.213
12,ID,0.496,0.287,0.217
13,ID,0.468,0.314,0.218
14,ID,0.506,0.287,0.207
15,ID,0.533,0.277,0.191
16,ID,0.565,0.258,0.176
17,ID,0.656,0.207,0.138
18,ID,0.693,0.175,0.132
19,ID,0.738,0.161,0.101
1,IN,0.767,0.143,0.091
2,IN,0.75,0.156,0.094
3,IN,0.735,0.158,0.107
4,IN,0.712,0.163,0.125
5,IN,0.748,0.143,0.108
6,IN,0.778,0.144,0.079
7,IN,0.734,0.16,0.105
8,IN,0.756,0.142,0.102
9,IN,0.75,0.15,0.1
10,IN,0.757,0.133,0.11
11,IN,0.738,0.156,0.106
12,IN,0.725,0.155,0.12
13,IN,0.683,0.191,0.126
14,IN,0.703,0.16,0.136
15,IN,0.702,0.162,0.136
