country,vaccine_accept,norms_vaccine
AF,0.9038831722366113,0.5136136637160527
AO,0.8765988502300744,0.6818552447829679
AR,0.8605035501641263,0.634998201112223
AU,0.8924106124861652,0.6867815598295871
AZ,0.5797036557465293,0.46172819898896156
BD,0.9164731433297063,0.6279098164526166
BO,0.863376250476124,0.617753179515263
BR,0.9060310733357024,0.7343380815393757
CA,0.8554704614483204,0.6732869056062715
CI,0.7418481690373131,0.4736221362030609
CL,0.831007342341114,0.6618191089264148
CM,0.5781865109381721,0.3205451761230267
CO,0.853311061412586,0.64862592416463
DE,0.8060569739894096,0.6085802641926121
DZ,0.7031637297068586,0.513762520921178
EC,0.8877969462201087,0.7037980515981914
EE,0.7744976852719535,0.5451747292647613
EG,0.8016927583037144,0.5028537226459343
ES,0.8348641107895733,0.5885159638973539
FR,0.7209966376907253,0.527236215112678
GB,0.8989873038918609,0.7525615541402749
GE,0.6878752974048974,0.5727095746470554
GH,0.7537813894495083,0.5594305694227597
GT,0.8976703035562987,0.6765431016408497
HN,0.892930807172585,0.6736747942289528
ID,0.8030047572423475,0.6340586667697332
IN,0.8902553167381496,0.7013497791419501
IQ,0.8293878966897955,0.5551383236697348
IT,0.8761915420100063,0.6834228157792112
JM,0.6600535065709254,0.4466045129451938
JP,0.8934603753471986,0.6783451639724032
KE,0.8394989690955108,0.5727740531535909
KH,0.9038293180117144,0.6584664259847373
KR,0.9017845010681749,0.8035549752521954
KZ,0.5329489869954434,0.4493849708765066
LK,0.8473679496647992,0.6632132461323601
MA,0.7459662762302173,0.4903250240854017
MM,0.93407759100353,0.7705553354033691
MN,0.8779117075234949,0.7237249211240713
MX,0.9006740041646769,0.6681424544705998
MY,0.9019488754004646,0.7255244817902049
MZ,0.8869445614842681,0.6630127236892666
NG,0.7627265281667501,0.511447729914301
NL,0.8378695136251453,0.5833292757799993
NP,0.9076367531707135,0.7098936570708567
PE,0.8866326241271116,0.7324244078565405
PH,0.7840411699839854,0.6071323615689347
PK,0.8274842609621756,0.5188247486297691
PL,0.7217178415440373,0.5121382804578114
PT,0.9228206018954419,0.714689479178044
RO,0.7277622692321747,0.49646649689084055
SD,0.8361344989651768,0.49453352049858657
SG,0.8744194628776467,0.7684195900039937
SN,0.6398113163123825,0.41192953306415425
TH,0.887667020648646,0.6692026428004435
TR,0.7983791461959531,0.629818510721521
TT,0.7821183617189715,0.6166595149709587
TW,0.8323067609787003,0.6569255070564846
TZ,0.7773283679271082,0.5224277567301641
UA,0.6618747324847436,0.5070854830958054
UG,0.8006769369820527,0.6090963663150352
AE,0.8600538110465119,0.7077264538014367
US,0.7892450169418735,0.607011305852508
UY,0.8223895111445605,0.6350682775817207
VE,0.8828976161257467,0.6143749962869196
VN,0.9364400357970984,0.7244371272115135
ZA,0.8010420907638891,0.6042256937783788
