country,wave9,wave10,wave11,wave12,wave13,wave14,wave15,wave16,wave17,wave18,wave19
AR,1.1214946133455535e-17,0.0,0.0,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,2.242989226691107e-17,1.1214946133455535e-17,0.0,2.242989226691107e-17,2.242989226691107e-17
BD,0.0,2.242989226691107e-17,0.0,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,0.0,1.1214946133455535e-17,1.1214946133455535e-17
BR,0.0,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,0.0,1.1214946133455535e-17,2.242989226691107e-17,1.1214946133455535e-17,1.1214946133455535e-17,3.364483840036661e-17
CO,2.242989226691107e-17,1.1214946133455535e-17,0.0,1.1214946133455535e-17,1.1214946133455535e-17,0.0,1.1214946133455535e-17,1.1214946133455535e-17,0.0,1.1214946133455535e-17,1.1214946133455535e-17
DE,0.0,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,0.0,1.1214946133455535e-17,2.242989226691107e-17,0.0,1.1214946133455535e-17,0.0,2.242989226691107e-17
EG,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,2.242989226691107e-17,0.0,0.0,5.607473066727768e-18,0.0,5.607473066727768e-18,1.1214946133455535e-17,1.1214946133455535e-17
FR,1.1214946133455535e-17,5.607473066727768e-18,1.1214946133455535e-17,5.607473066727768e-18,1.1214946133455535e-17,0.0,1.1214946133455535e-17,2.242989226691107e-17,0.0,0.0,1.1214946133455535e-17
GB,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,2.242989226691107e-17,1.1214946133455535e-17,1.1214946133455535e-17,2.242989226691107e-17,0.0
ID,1.1214946133455535e-17,0.0,2.242989226691107e-17,2.242989226691107e-17,0.0,0.0,0.0,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,0.0
IN,1.1214946133455535e-17,2.242989226691107e-17,1.1214946133455535e-17,0.0,0.0,2.242989226691107e-17,0.0,0.0,0.0,0.0,1.1214946133455535e-17
IT,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,0.0,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,0.0,0.0,1.1214946133455535e-17,0.0
JP,1.1214946133455535e-17,1.1214946133455535e-17,0.0,1.1214946133455535e-17,0.0,0.0,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17
MX,2.242989226691107e-17,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,0.0,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,2.242989226691107e-17,1.1214946133455535e-17,3.364483840036661e-17
MY,1.1214946133455535e-17,2.242989226691107e-17,2.242989226691107e-17,0.0,0.0,0.0,0.0,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,3.364483840036661e-17
NG,1.1214946133455535e-17,5.607473066727768e-18,0.0,2.242989226691107e-17,5.607473066727768e-18,0.0,0.0,1.6822419200183305e-17,1.1214946133455535e-17,0.0,5.607473066727768e-18
PH,2.242989226691107e-17,0.0,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,0.0,1.1214946133455535e-17,1.1214946133455535e-17,0.0,0.0,0.0
PK,0.0,1.1214946133455535e-17,0.0,2.242989226691107e-17,5.607473066727768e-18,0.0,5.607473066727768e-18,0.0,5.607473066727768e-18,5.607473066727768e-18,1.1214946133455535e-17
PL,5.607473066727768e-18,0.0,5.607473066727768e-18,5.607473066727768e-18,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,2.242989226691107e-17,2.242989226691107e-17
RO,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,5.607473066727768e-18,5.607473066727768e-18,5.607473066727768e-18,5.607473066727768e-18,1.1214946133455535e-17,0.0,5.607473066727768e-18,1.6822419200183305e-17
TH,2.242989226691107e-17,0.0,2.242989226691107e-17,0.0,1.1214946133455535e-17,1.1214946133455535e-17,0.0,0.0,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17
TR,0.0,1.1214946133455535e-17,2.242989226691107e-17,0.0,0.0,1.1214946133455535e-17,2.242989226691107e-17,1.1214946133455535e-17,1.1214946133455535e-17,0.0,0.0
US,2.242989226691107e-17,1.1214946133455535e-17,0.0,2.242989226691107e-17,0.0,1.1214946133455535e-17,2.242989226691107e-17,1.1214946133455535e-17,1.1214946133455535e-17,0.0,1.1214946133455535e-17
VN,0.0,0.0,1.1214946133455535e-17,2.242989226691107e-17,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17,2.242989226691107e-17,1.1214946133455535e-17,1.1214946133455535e-17,1.1214946133455535e-17
